threshold,rules_precision,rules_recall,rules_f1,rules_fpr,full_precision,full_recall,full_f1,full_fpr
10,0.4444444444444444,1.0,0.6153846153846153,1.0,0.4444444444444444,1.0,0.6153846153846153,1.0
15,0.4968944099378882,1.0,0.6639004149377593,0.81,0.4878048780487805,1.0,0.6557377049180327,0.84
20,0.4968944099378882,1.0,0.6639004149377593,0.81,0.4878048780487805,1.0,0.6557377049180327,0.84
25,0.676595744680851,0.99375,0.8050632911392406,0.38,0.6309523809523809,0.99375,0.7718446601941747,0.465
30,0.676595744680851,0.99375,0.8050632911392406,0.38,0.6437246963562753,0.99375,0.7813267813267812,0.44
35,0.676595744680851,0.99375,0.8050632911392406,0.38,0.6625,0.99375,0.7949999999999999,0.405
40,0.676595744680851,0.99375,0.8050632911392406,0.38,0.6708860759493671,0.99375,0.8010075566750631,0.39
45,0.803921568627451,0.76875,0.7859424920127795,0.15,0.9166666666666666,0.89375,0.9050632911392406,0.065
50,0.803921568627451,0.76875,0.7859424920127795,0.15,0.9225806451612903,0.89375,0.9079365079365079,0.06
55,0.803921568627451,0.76875,0.7859424920127795,0.15,0.9466666666666667,0.8875,0.9161290322580645,0.04
60,0.803921568627451,0.76875,0.7859424920127795,0.15,0.9463087248322147,0.88125,0.912621359223301,0.04
65,0.7744360902255639,0.64375,0.7030716723549489,0.15,0.9459459459459459,0.875,0.9090909090909091,0.04
70,0.7744360902255639,0.64375,0.7030716723549489,0.15,0.9459459459459459,0.875,0.9090909090909091,0.04
75,0.7744360902255639,0.64375,0.7030716723549489,0.15,0.9459459459459459,0.875,0.9090909090909091,0.04
80,0.6774193548387096,0.39375,0.4980237154150198,0.15,0.9420289855072463,0.8125,0.8724832214765101,0.04
85,0.6774193548387096,0.39375,0.4980237154150198,0.15,0.9298245614035088,0.6625,0.7737226277372262,0.04
90,0.589041095890411,0.26875,0.36909871244635195,0.15,0.9279279279279279,0.64375,0.7601476014760147,0.04
95,0.589041095890411,0.26875,0.36909871244635195,0.15,0.9279279279279279,0.64375,0.7601476014760147,0.04
100,0.589041095890411,0.26875,0.36909871244635195,0.15,0.9279279279279279,0.64375,0.7601476014760147,0.04
